FIPS,EP_AGE17
17031510300,18.4
17031520100,34.4
17031590700,15.9
17031600400,16.1
17031824115,20.4
17031825303,21.3
17031830007,29.5
17031813801,27.6
17031830600,20.9
17031830800,8.5
17031830700,16.4
17031830900,14.4
17031835200,20.2
17031839900,15.2
17031839700,16.0
17031839800,15.1
17031834800,18.7
17031834700,17.9
17031832000,3.0
17031832500,20.8
17031832300,10.6
17031838300,7.9
17031831800,24.8
17031831700,17.6
17031835100,27.3
17031835000,23.0
17031843700,28.3
17031220702,18.2
17031842100,26.1
17031843300,28.1
17031824123,24.5
17031804405,25.9
17031831100,18.1
17031831500,20.7
17031831600,22.2
17031831200,22.7
17031831000,13.3
17031843000,26.9
17031843100,28.1
17031842900,32.2
17031843500,2.7
17031842000,7.8
17031804508,29.6
17031770901,16.2
17031832400,13.0
17031832900,8.0
17031840300,22.2
17031823805,17.6
17031838600,24.8
17031839600,9.3
17031834900,8.3
17031030603,14.2
17031832200,15.4
17031836700,28.0
17031836800,25.8
17031836600,13.2
17031833000,16.0
17031842500,43.2
17031841800,28.3
17031842800,25.8
17031843800,17.6
17031841000,11.5
17031836500,26.8
17031843900,19.5
17031834200,29.4
17031842200,10.6
17031838000,23.9
17031010702,32.0
17031010503,7.2
17031010502,16.5
17031010701,19.6
17031020902,18.1
17031020302,27.1
17031020601,34.0
17031020301,28.3
17031760803,15.9
17031530501,23.8
17031530503,21.9
17031650301,24.1
17031650302,30.6
17031530502,22.3
17031803611,25.2
17031831300,21.8
17031831400,23.4
17031837000,28.7
17031842400,15.5
17031832100,15.1
17031020802,32.8
17031020702,35.7
17031020801,18.5
17031040202,23.4
17031040201,15.0
17031040402,8.8
17031031501,19.7
17031081201,3.0
17031063301,5.6
17031490901,24.4
17031490902,21.6
17031301801,26.6
17031700301,29.0
17031301702,29.1
17031700401,20.4
17031803612,28.1
17031803702,22.8
17031804713,19.1
17031804309,26.9
17031804510,27.8
17031837100,19.0
17031837400,29.4
17031837800,20.7
17031837300,23.3
17031841500,33.3
17031838700,33.4
17031150501,14.4
17031150401,21.6
17031150502,20.2
17031110502,21.1
17031150402,25.3
17031140302,16.4
17031140301,20.9
17031700302,28.6
17031580501,22.1
17031580502,28.2
17031730201,14.0
17031301802,31.1
17031440101,11.3
17031301701,18.2
17031804509,29.2
17031804511,28.1
17031804609,24.5
17031804608,22.9
17031806202,17.4
17031839100,3.3
17031833100,10.8
17031838100,6.0
17031833300,14.1
17031838200,15.0
17031140702,19.8
17031140602,25.9
17031140701,15.3
17031160502,26.5
17031160602,19.9
17031151002,23.9
17031151001,25.6
17031190402,23.3
17031431301,26.0
17031431302,28.4
17031460302,30.0
17031460301,26.0
17031700501,14.0
17031700502,19.1
17031210601,14.5
17031812302,24.8
17031812802,24.7
17031812801,14.0
17031812301,7.9
17031813802,30.8
17031813701,22.1
17031820603,27.9
17031841100,17.3
17031840200,22.4
17031841300,15.2
