FIPS,EP_WHITE,EP_AFAM,EP_HISP,EP_ASIAN
17031510300,0.7000000000000001,99.3,0.0,0.0
17031520100,5.8999999999999995,0.0,93.7,0.0
17031590700,11.899999999999999,0.9,69.2,15.6
17031600400,30.9,6.8,6.2,55.4
17031824115,83.89999999999999,1.8,8.3,5.6
17031825303,71.8,6.9,20.0,0.0
17031830007,5.8999999999999995,88.1,6.0,0.0
17031813801,1.4000000000000001,1.6,97.0,0.0
17031830600,40.5,17.8,27.7,10.5
17031830800,72.0,4.4,9.6,11.6
17031830700,35.699999999999996,39.7,13.2,8.9
17031830900,57.3,2.4,31.6,7.6
17031835200,15.299999999999999,7.8,73.7,3.2
17031839900,51.6,1.8,35.5,10.8
17031839700,35.199999999999996,3.6,32.8,25.1
17031839800,47.3,4.5,15.4,32.5
17031834800,1.0999999999999999,92.0,5.5,0.2
17031834700,1.0999999999999999,81.8,14.6,0.0
17031832000,77.4,3.1,8.2,6.3
17031832500,74.5,4.4,11.2,5.0
17031832300,65.60000000000001,8.2,13.0,4.4
17031838300,58.9,23.8,3.0,12.7
17031831800,39.300000000000004,3.3,18.0,35.3
17031831700,44.0,2.7,46.0,6.1
17031835100,2.4,12.5,84.2,0.0
17031835000,1.6,34.3,61.9,2.3
17031843700,62.0,2.9,15.2,5.3
17031220702,40.300000000000004,4.2,51.3,3.5
17031842100,3.5999999999999996,47.4,45.7,1.5
17031843300,6.3,66.3,21.3,1.1
17031824123,73.1,5.8,14.0,4.0
17031804405,9.8,17.0,66.2,7.1
17031831100,43.0,1.4,50.2,2.9
17031831500,28.999999999999996,9.1,55.1,3.1
17031831600,31.3,7.9,56.1,2.8
17031831200,8.0,3.7,87.6,0.0
17031831000,85.2,1.7,7.9,3.8
17031843000,4.8,92.8,2.4,0.0
17031843100,12.4,75.4,11.1,1.1
17031842900,13.8,58.6,4.0,4.2
17031843500,11.0,64.5,23.6,0.9
17031842000,31.7,36.6,8.3,20.7
17031804508,21.9,8.9,56.1,11.5
17031770901,77.3,0.3,9.6,7.5
17031832400,60.8,5.5,26.3,4.1
17031832900,48.1,2.6,7.1,42.2
17031840300,14.499999999999998,1.9,57.6,24.9
17031823805,84.3,1.4,8.9,4.2
17031838600,3.5999999999999996,73.0,14.9,0.2
17031839600,8.0,85.4,5.8,0.0
17031834900,1.0,96.6,0.1,0.0
17031030603,46.300000000000004,23.9,12.0,14.7
17031832200,74.3,2.9,8.0,8.4
17031836700,3.4000000000000004,77.4,19.2,0.0
17031836800,3.6999999999999997,95.2,0.8,0.0
17031836600,36.3,14.6,43.0,1.4
17031833000,80.9,3.8,1.8,8.4
17031842500,0.0,93.5,3.3,2.0
17031841800,1.7999999999999998,81.8,13.9,0.0
17031842800,7.5,0.0,90.6,1.2
17031843800,37.1,40.8,14.9,5.3
17031841000,29.4,34.7,6.0,28.0
17031836500,12.2,86.4,1.1,0.0
17031843900,6.2,86.2,3.4,1.4
17031834200,0.1,99.5,0.4,0.0
17031842200,71.2,7.9,4.7,9.2
17031838000,16.3,61.3,12.8,0.6
17031010702,23.7,36.5,34.6,2.3
17031010503,72.5,15.8,1.2,5.7
17031010502,54.7,15.8,16.8,4.4
17031010701,38.1,20.8,30.6,6.3
17031020902,32.4,19.2,14.7,32.8
17031020302,70.39999999999999,7.0,12.5,8.2
17031020601,49.1,2.3,13.8,21.8
17031020301,78.3,1.8,6.4,9.2
17031760803,66.2,9.7,15.4,3.7
17031530501,1.0,95.3,1.5,0.0
17031530503,0.0,94.2,2.6,0.0
17031650301,14.6,0.8,82.9,0.7
17031650302,5.7,2.4,91.9,0.0
17031530502,0.0,97.3,2.7,0.0
17031803611,33.0,8.8,41.4,12.9
17031831300,0.5,21.6,73.1,1.0
17031831400,14.2,50.8,26.3,8.4
17031837000,9.1,78.8,10.4,0.5
17031842400,1.2,92.8,2.3,2.4
17031832100,50.8,28.4,12.2,3.4
17031020802,25.6,6.7,25.4,32.2
17031020702,41.4,3.5,23.5,30.2
17031020801,35.9,12.9,32.3,14.6
17031040202,30.0,4.2,34.7,19.8
17031040201,73.3,1.5,15.3,8.1
17031040402,73.9,2.7,16.4,3.4
17031031501,34.699999999999996,35.8,11.8,15.1
17031081201,80.7,1.7,5.0,12.0
17031063301,65.0,6.1,14.7,7.9
17031490901,0.0,100.0,0.0,0.0
17031490902,0.0,94.9,4.3,0.0
17031301801,1.7999999999999998,0.0,98.1,0.0
17031700301,18.7,4.8,75.1,1.0
17031301702,1.7999999999999998,0.0,98.2,0.0
17031700401,4.1000000000000005,50.8,42.3,0.9
17031803612,31.3,10.9,41.9,12.7
17031803702,74.4,3.2,7.0,14.4
17031804713,42.1,7.2,8.2,41.4
17031804309,33.6,2.2,57.0,6.8
17031804510,13.0,4.8,73.8,8.0
17031837100,14.7,49.3,31.7,0.3
17031837400,4.9,78.5,15.2,0.0
17031837800,18.0,62.4,13.9,5.7
17031837300,3.1,94.3,0.8,0.2
17031841500,4.3,91.4,4.0,0.0
17031838700,6.6000000000000005,77.0,16.5,0.0
17031150501,57.3,0.3,24.3,11.5
17031150401,57.9,0.9,29.1,10.1
17031150502,49.8,2.7,35.8,10.9
17031110502,59.8,3.0,21.3,13.4
17031150402,46.300000000000004,5.1,41.7,4.7
17031140302,40.1,6.3,34.1,15.1
17031140301,10.7,1.8,56.5,28.2
17031700302,21.6,12.6,65.0,0.0
17031580501,12.6,2.0,72.4,10.9
17031580502,6.800000000000001,0.2,85.8,6.8
17031730201,1.9,92.3,2.8,0.3
17031301802,3.0,0.4,96.6,0.0
17031440101,0.1,95.9,0.8,0.8
17031301701,9.700000000000001,0.0,88.0,2.2
17031804509,23.9,2.3,65.7,7.2
17031804511,14.799999999999999,3.6,69.1,12.4
17031804609,44.6,1.2,2.5,44.5
17031804608,43.0,2.6,12.4,33.2
17031806202,68.30000000000001,2.8,16.3,6.6
17031839100,41.9,10.7,14.4,30.1
17031833100,61.0,5.9,7.2,22.5
