FIPS,EP_POV150
17031510300,48.7
17031520100,36.6
17031590700,17.3
17031600400,35.1
17031824115,9.7
17031825303,12.7
17031830007,15.6
17031813801,35.9
17031830600,25.9
17031830800,11.4
17031830700,37.2
17031830900,5.8
17031835200,8.6
17031839900,14.1
17031839700,12.4
17031839800,28.0
17031834800,47.7
17031834700,34.4
17031832000,13.2
17031832500,17.8
17031832300,7.9
17031838300,12.4
17031831800,21.1
17031831700,25.3
17031835100,30.2
17031835000,49.1
17031843700,9.4
17031220702,28.3
17031842100,38.9
17031843300,53.4
17031824123,4.0
17031804405,19.3
17031831100,21.1
17031831500,21.0
17031831600,19.1
17031831200,26.6
17031831000,5.5
17031843000,58.0
17031843100,48.7
17031842900,68.4
17031843500,31.5
17031842000,31.7
17031804508,25.8
17031770901,7.0
17031832400,5.7
17031832900,38.5
17031840300,33.3
17031823805,6.8
17031838600,40.8
17031839600,30.1
17031834900,50.7
17031030603,22.4
17031832200,6.6
17031836700,42.6
17031836800,74.3
17031836600,13.2
17031833000,7.5
17031842500,50.0
17031841800,45.0
17031842800,41.8
17031843800,43.7
17031841000,28.2
17031836500,41.3
17031843900,37.1
17031834200,24.6
17031842200,8.1
17031838000,45.6
17031010702,35.5
17031010503,60.8
17031010502,32.3
17031010701,21.5
17031020902,36.0
17031020302,28.0
17031020601,39.0
17031020301,21.8
17031760803,16.1
17031530501,48.3
17031530503,31.9
17031650301,25.9
17031650302,36.0
17031530502,18.6
17031803611,26.7
17031831300,55.3
17031831400,55.9
17031837000,45.8
17031842400,16.8
17031832100,25.7
17031020802,33.9
17031020702,25.5
17031020801,18.3
17031040202,38.5
17031040201,7.7
17031040402,11.3
17031031501,52.1
17031081201,5.2
17031063301,29.0
17031490901,59.0
17031490902,23.5
17031301801,41.9
17031700301,15.6
17031301702,49.9
17031700401,24.0
17031803612,33.6
17031803702,7.6
17031804713,4.9
17031804309,13.6
17031804510,18.0
17031837100,34.9
17031837400,45.7
17031837800,36.9
17031837300,59.4
17031841500,57.8
17031838700,68.1
17031150501,5.5
17031150401,18.0
17031150502,19.7
17031110502,16.6
17031150402,16.6
17031140302,26.6
17031140301,32.9
17031700302,15.9
17031580501,21.1
17031580502,32.7
17031730201,17.9
17031301802,41.8
17031440101,53.5
17031301701,31.0
17031804509,24.4
17031804511,27.8
17031804609,7.1
17031804608,11.0
17031806202,12.6
17031839100,8.6
17031833100,10.0
17031838100,41.5
17031833300,32.5
17031838200,14.1
17031140702,25.4
17031140602,43.3
17031140701,18.8
17031160502,21.4
17031160602,18.8
17031151002,22.4
17031151001,16.7
17031190402,25.9
17031431301,50.8
17031431302,56.2
17031460302,36.2
17031460301,44.2
17031700501,23.8
17031700502,14.3
17031210601,24.7
17031812302,9.7
17031812802,7.3
17031812801,19.1
17031812301,10.9
17031813802,34.2
17031813701,30.1
17031820603,28.4
17031841100,28.4
17031840200,48.3
17031841300,20.1
17031840700,14.6
17031841700,38.3
17031190602,24.8
17031190401,16.7
17031190702,37.2
17031191302,26.8
17031190601,13.1
17031191301,23.1
17031200402,16.7
17031200401,29.3
17031220902,28.7
17031210501,30.2
17031160601,6.7
17031061901,23.8
17031840800,47.5
17031030703,34.1
17031081403,13.8
17031030702,20.9
17031440102,38.9
17031440202,35.2
17031824113,8.7
17031825304,12.1
17031830008,8.2
17031803012,11.0
17031802607,8.0
17031830500,26.8
17031840100,17.7
17031840400,30.0
17031839200,39.6
17031835500,69.8
17031804404,15.5
17031804804,21.7
17031070101,13.6
17031110501,14.5
17031030104,31.6
17031081401,17.3
17031430102,34.7
17031770902,10.7
17031824121,14.5
17031430101,48.3
17031804109,5.1
17031804611,10.2
17031824004,8.6
17031824006,1.9
17031252101,33.9
17031010501,24.8
17031020701,14.4
17031010201,43.0
17031760801,18.5
17031839000,20.0
17031440201,38.0
17031540101,71.2
17031802004,35.6
17031802003,16.4
17031803013,4.1
17031802608,8.0
17031803015,9.2
17031803014,11.9
17031834000,43.4
17031833900,61.8
17031221000,23.6
17031221100,22.0
17031242800,7.2
17031242900,5.3
17031243000,10.3
17031243100,9.1
17031243200,7.5
17031243300,10.6
17031243400,17.4
17031071400,19.5
17031110400,9.1
17031150600,14.5
17031150700,8.1
17031150800,20.1
17031151100,23.5
17031151200,13.6
17031241500,7.2
17031241100,21.8
17031241600,16.0
17031241300,13.9
17031241400,7.9
17031243500,12.6
17031250200,26.2
17031250300,40.8
17031250400,38.5
17031250500,14.2
17031071500,6.3
17031071800,5.0
17031080100,8.9
17031080300,11.5
17031080400,37.3
17031160100,26.5
17031160200,3.5
17031160300,20.6
17031160400,22.0
17031160700,9.0
17031221300,24.8
17031221500,23.2
17031221400,15.4
17031250600,34.8
17031250700,43.3
17031250800,28.6
17031251000,51.4
17031251100,39.1
17031051400,12.7
17031060100,6.8
17031060300,7.4
17031060800,11.3
17031160800,29.5
17031819200,22.3
17031815600,23.9
17031818000,21.9
17031812000,4.7
17031829402,32.9
17031320101,4.8
17031829904,6.7
17031804204,8.2
17031804316,7.1
17031804514,8.0
17031330103,17.5
17031380600,42.4
17031330102,5.3
17031330101,6.6
17031460800,66.4
17031806005,16.3
17031806006,16.4
17031804203,5.5
17031803614,47.3
17031803616,14.9
17031809402,39.4
17031828508,24.3
17031828507,14.4
17031824126,3.1
17031824508,9.7
17031824509,5.9
17031824127,12.1
17031824125,7.2
17031824124,21.4
17031824129,9.6
17031824128,8.8
